ItemId,DEL_PRODUCT,StructureId,APDivision,APLabel,APMerchDivision,APClass,APSubClass,ProductCategoryCode,ProductCategoryDesc,ProductClassCode,ProductClassDesc,ProductSubclassCode,ProductSubclassDesc,MerchDivisionCode,MerchDivisionDesc,ColorFamily,USBoardNumber,MerchOrganizationDesc,MSSP,FactoryCost,APSeasonYear,APSeason,APYear,APItemDescription,RetailTypeId,EventId,USSizeOffering
WMCLOTWN6020211,0,WM,WM,CL,N,OTW,60,JK,JACKET,VST,VEST,N/A,NO SUBCLASS,290,W COLLECTION APP RTW,GREEN,100187863,WOMENS APPAREL,NULL,345.74,FAL2022,FAL,2022,JAIDEN-VEST GUNCHECK PLAID,SINGLE PRICE,PSR,00-20
WMCLDRSN6820083,0,WM,WM,CL,N,DRS,68,DR,DRESSES,DAD,DAY DRESS,LSL,LONG SLEEVE,290,W COLLECTION APP RTW,RED,8A,WOMENS APPAREL,NULL,414.39,FAL2022,FAL,2022,LS MK NK DRS-LONG SLEEVE-DAY DRESS FIELD FAIRISLE,SINGLE PRICE,PSR,XXS-XXL
WMCLSWENN820047,0,WM,WM,CL,N,SWE,N8,SV,SWEATER,PLO,PULLOVER,SSL,SHORT SLEEVE,290,W COLLECTION APP RTW,BROWN,8A,WOMENS APPAREL,NULL,323.68,FAL2022,FAL,2022,SS POLO-SHORT SLEEVE-PULLOVER FIELD FAIRISLE,SINGLE PRICE,PSR,XXS-XXL
WMCLDRS63A20002,0,WM,WM,CL,6,DRS,3A,DR,DRESSES,COD,COCKTAIL DRESS,SLS,SLEEVELESS,290,W COLLECTION APP RTW,BROWN,100138019,WOMENS APPAREL,NULL,579.44,FAL2022,FAL,2022,ORILLA-SLEEVELESS-COCKTAIL DRESS DRESSWEIGHT VELVET,SINGLE PRICE,PSR,00-20
WMCLSHTN6820143,0,WM,WM,CL,N,SHT,68,SI,SHIRTS,BLS,BLOUSE,LSL,LONG SLEEVE,290,W COLLECTION APP RTW,BROWN,100138019,WOMENS APPAREL,NULL,193.76,FAL2022,FAL,2022,DEVRI-LONG SLEEVE-BLOUSE DRESSWEIGHT VELVET,SINGLE PRICE,PSR,00-20
WMCLOTWN2820091,0,WM,WM,CL,N,OTW,28,OW,OUTERWEAR,COA,COAT,LND,LINED,290,W COLLECTION APP RTW,GREEN,100179415,WOMENS APPAREL,NULL,1323.84,FAL2022,FAL,2022,WILMER-LINED-COAT CASH MERNO SHERLNG,SINGLE PRICE,PSR,00-20
WMCLSWEN6820247,0,WM,WM,CL,N,SWE,68,SV,SWEATER,PLO,PULLOVER,LSL,LONG SLEEVE,290,W COLLECTION APP RTW,GREEN,1A,WOMENS APPAREL,NULL,162.4,FAL2022,FAL,2022,LS CN-LONG SLEEVE-SWEATER CASHMERE JERSY,SINGLE PRICE,PSR,XXS-XXL
WMCLOTWN2820093,0,WM,WM,CL,N,OTW,28,OW,OUTERWEAR,COA,COAT,LND,LINED,290,W COLLECTION APP RTW,BROWN,100189085,WOMENS APPAREL,NULL,511.79,FAL2022,FAL,2022,DOUGLAS-LINED-COAT FANCY HRRNGBN CTNG,SINGLE PRICE,PSR,00-20
MNPLSWE16820353,0,MN,MN,PL,1,SWE,68,SV,SWEATER,PLO,PULLOVER,LSL,LONG SLEEVE,790,M PURPLE LBL APP SPRTSWR,BROWN,S224FM01,MENS APPAREL,NULL,339.46,FAL2022,FAL,2022,CABLE TN-LONG SLEEVE-PULLOVER 5GG CASHMERE CABLE,SINGLE PRICE,PSR,XS-XXL
MNPOWOV16822719,0,MN,MN,PO,1,WOV,68,SI,SHIRTS,SPS,SPORT SHIRT,LSL,LONG SLEEVE,710,M PRL APP SPRTSWR,GREEN,Z226SC32,MENS APPAREL,NULL,10.39,CRU2022,CRU,2022,CLBDPPCS-LONG SLEEVE-SPORT SHIRT 40/1 GD OXFORD,SINGLE PRICE,FULLPRICE,XS-XXL
HMRLGFTHAP20019,0,HM,HM,RL,H,GFT,AP,GT,GIFTS,GFT,VASES & LIGHTING,HSM,SM HURRCNES/LNTRNS,682,RL HOME GIFTS,BROWN,68285711,HOME,NULL,67.9,NOS2022,NOS,2022,HURRICANE MODERN,SINGLE PRICE,FULLPRICE,XSMALL
CWPOTSHI8020199,0,CW,CW,PO,I,TSH,80,KN,KNIT SHIRTS,TSH,T-SHIRT,LSL,LONG SLEEVE,320,CB PRL APP BABY BOYS,WHITE,32086677,CHILDRENS APPAREL,NULL,5.9,FAL2022,FAL,2022,O LS BEAR TEE - FALL BEAR,SINGLE PRICE,OUTLET,3M-24M
